ifd0_XPSubject ,Count
, 1380633
70005 on 1130 Wiigan-Crewe Ba, 1
Anne in Dubai, 1
Australia 2004, 1
bloemen, 1
Boats, 1
c/n R182-01528 : F-GHTM, 1
Carys, 1
Castelsardo sardegna estate, 1
Chemnitz Stadtbild, 2
Dogs Play Constantly, 1
gravity brick wall hiphop eth, 1
Heimat, 33
Ishtar Gate, 1
Kyoto Shrine Stepping Stones, 1
mining camp, 5
New York, 29
New York Urlaub 2010, 3
Nr. Collieston, Aberdeenshire, 1
Offset to Next IFD = 0x000000, 7
OLYMPUS DIGITAL CAMERA, 2
Oslo Friea sign, 1
paisajes, 1
Pandaravadai bazaar By-Sharfu, 1
Pandaravadai kabrusthan By-Sh, 1
Philadelphia Philanthropic Fo, 1
Power Station, 1
Rhodes, 1
SAMSUNG DIGITAL CAMERA, 1
Shiva Temple, KovilDevarayanP, 1
Snowstorm of Dec 2009, 1
SONY DSC, 17
test, 1
Weka Pass Railway, 8
XP N 40° 57.593   W 071° 16.2, 2
XP N 40° 57.632   W 071° 14.2, 1
XP N 58° 57.037   W 148° 09.9, 1
[CustomRendered, 227
