ifd1_StripOffsets ,Count
, 1379559
0x[00000214] / 532, 2
0x[00000286] / 646, 38
0x[00000288] / 648, 2
0x[00000292] / 658, 7
0x[0000029E] / 670, 2
0x[000002AA] / 682, 3
0x[00000323] / 803, 80
0x[0000048A] / 1162, 1
0x[00000527] / 1319, 7
0x[00000528] / 1320, 74
0x[0000052B] / 1323, 14
0x[00000539] / 1337, 121
0x[00000567] / 1383, 4
0x[00000569] / 1385, 74
0x[0000056B] / 1387, 4
0x[00000577] / 1399, 1
0x[00000587] / 1415, 1
0x[00000590] / 1424, 30
0x[00000591] / 1425, 3
0x[000005A4] / 1444, 148
0x[0000063C] / 1596, 24
0x[0000067D] / 1661, 1
0x[0000069B] / 1691, 4
0x[000006BE] / 1726, 113
0x[000006C4] / 1732, 100
0x[000006C8] / 1736, 308
0x[000006CA] / 1738, 37
0x[000006D0] / 1744, 58
0x[000006D4] / 1748, 33
0x[000006F1] / 1777, 2
0x[000007E7] / 2023, 3
0x[000007FB] / 2043, 1
0x[000007FF] / 2047, 3
0x[0000083A] / 2106, 1
0x[000008D3] / 2259, 49
0x[00000BB1] / 2993, 1
0x[00000C59] / 3161, 1
0x[00000C5D] / 3165, 22
0x[00000F14] / 3860, 7
0x[0000101B] / 4123, 1
0x[00001668] / 5736, 7
0x[000016B2] / 5810, 2
0x[000016D4] / 5844, 5
0x[00001964] / 6500, 2
0x[00002159] / 8537, 7
0x[0000260C] / 9740, 26
556, 1
