ifds_ExposureProgram ,Count
, 352967
10016, 1
10064, 1
10272, 1
10336, 1
10368, 1
10432, 1
10448, 1
10512, 1
10560, 1
10640, 1
10768, 1
10976, 1
11056, 1
11072, 1
11264, 1
11392, 3
11472, 1
11520, 1
11616, 1
11712, 1
11728, 1
11776, 4
11872, 1
11936, 1
12096, 2
12256, 1
13712, 1
14400, 1
15008, 1
1536, 1
15808, 1
16112, 1
16320, 1
19872, 1
2224, 1
2368, 1
2480, 2
2496, 3
2560, 1
2624, 2
2656, 1
2704, 1
2736, 1
2768, 2
2816, 1
2880, 1
2896, 1
2912, 1
2960, 1
2976, 3
2992, 1
3008, 1
3088, 1
3152, 1
3184, 2
3200, 1
3328, 1
3344, 1
3360, 1
3408, 1
3424, 1
3440, 1
3504, 3
3520, 4
3552, 2
3568, 1
3600, 1
3664, 1
3760, 2
3776, 1
3888, 2
3936, 1
4016, 1
4416, 2
45040, 3
4528, 1
4624, 2
4640, 2
4656, 1
4720, 1
5024, 1
5072, 2
5088, 4
50896, 2
51168, 1
5120, 2
5136, 2
51424, 1
51584, 1
51664, 1
51760, 1
51824, 1
51984, 2
52064, 1
52176, 1
52272, 1
5248, 1
52496, 1
52560, 1
5280, 2
52864, 1
52928, 1
5296, 1
52992, 1
53232, 1
5344, 1
5392, 1
5440, 1
5456, 1
5472, 2
5504, 1
5536, 2
5584, 1
55920, 1
5600, 1
5632, 1
5648, 1
5680, 1
5696, 1
5728, 1
5776, 2
5824, 2
5856, 1
5888, 1
5920, 1
5936, 1
5952, 1
6000, 2
6016, 1
6128, 1
6160, 1
6240, 3
6256, 1
6272, 1
6304, 1
63328, 1
6416, 1
6448, 1
6480, 1
6544, 1
6560, 1
6592, 1
6624, 1
6672, 2
6720, 1
6768, 1
6816, 2
6944, 1
7008, 1
7040, 1
7072, 1
7120, 1
7136, 1
7152, 2
7232, 1
7248, 1
7280, 1
7312, 1
7344, 3
7360, 1
7376, 1
7392, 1
7456, 1
7680, 2
7696, 1
7728, 1
7760, 2
7808, 1
7824, 1
7856, 1
7872, 1
7952, 1
8000, 1
8080, 1
8112, 1
8160, 3
8176, 1
8720, 1
9, 29
9056, 1
9120, 1
9168, 1
9312, 2
9456, 1
9536, 1
9744, 1
9824, 2
9840, 1
9872, 2
Action program (fast shutter , 8735
Aperture priority, 116389
Creative program (depth of fi, 27536
Landscape mode, 37579
Manual, 62141
Normal program, 666962
Not defined, 70787
Portrait mode, 15848
Shutter priority, 21778
