ifds_LightSource ,Count
, 562957
10048, 1
10128, 1
10144, 1
10480, 1
1056, 1
10752, 1
10754, 1
11376, 1
11904, 1
11984, 1
12096, 1
14448, 1
14960, 1
15040, 1
15936, 1
16224, 3
16304, 1
19424, 1
2352, 1
2384, 1
2400, 1
2464, 1
25, 1
2528, 1
2544, 1
2576, 1
2672, 1
2704, 1
2752, 1
2784, 1
2800, 1
2848, 1
2896, 1
2960, 1
3088, 1
3136, 1
3184, 1
3248, 1
3264, 1
3328, 1
3408, 1
3456, 2
3472, 1
3536, 1
3552, 1
3568, 2
3664, 1
3792, 1
3840, 1
3936, 1
3952, 2
3984, 1
4000, 1
4064, 1
4080, 3
41012, 2
43062, 1
4400, 1
4800, 1
48255, 1
49151, 1
4928, 1
4976, 1
4992, 1
5040, 1
50944, 1
5120, 1
51200, 1
51360, 1
51440, 1
5152, 1
51536, 1
51600, 1
51760, 2
51840, 1
51952, 1
52048, 1
52272, 1
5232, 2
52336, 1
5264, 1
52640, 1
52704, 1
52768, 1
53008, 1
53088, 1
53152, 1
5440, 1
5536, 1
55408, 1
5552, 2
5584, 1
5600, 2
56580, 1
5664, 1
5696, 1
5728, 1
5808, 1
5824, 2
5840, 1
5952, 2
5984, 1
6048, 1
6064, 1
6096, 1
6160, 1
6192, 1
62256, 1
6400, 1
6448, 1
6496, 1
65535, 702
6592, 1
6816, 1
6848, 1
7008, 1
7040, 1
7056, 2
7136, 1
7152, 1
7216, 1
7280, 1
7360, 1
7504, 2
7536, 1
7568, 1
7584, 1
7632, 2
7648, 1
7712, 1
7728, 1
7856, 1
7904, 1
7936, 1
7984, 1
8080, 1
8144, 1
8512, 2
8656, 1
8832, 1
8928, 1
9312, 1
9552, 1
9616, 1
9776, 1
9920, 1
Cloudy weather, 13620
Cool white fluorescent (W 390, 2030
D50, 419
D55, 1971
D65, 806
D75, 251
Day white fluorescent (N 4600, 832
Daylight, 14196
Daylight fluorescent (D 5700 , 591
Fine weather, 20411
Flash, 19784
Fluorescent, 2206
ISO studio tungsten, 73
other light source, 4614
Shade, 2827
Standard light A, 236
Standard light B, 8
Standard light C, 11
Tungsten (incandescent light), 5320
unknown, 726683
White fluorescent (WW 3200   , 283
