ifds_SceneCaptureType ,Count
, 175264
10048, 1
10176, 1
10288, 1
10304, 1
10384, 1
10480, 1
10496, 2
10544, 1
10656, 1
10672, 1
10752, 1
10768, 1
10800, 2
10880, 1
10976, 1
11, 1
11040, 1
11088, 1
11104, 1
11136, 1
11168, 1
11328, 1
11376, 1
11504, 3
11520, 1
11536, 1
11584, 2
11600, 1
11664, 1
11696, 1
11760, 1
11776, 1
11840, 1
11888, 3
11984, 1
12240, 1
12256, 1
12640, 1
12672, 1
13712, 1
13824, 1
14128, 1
14192, 1
14736, 1
14800, 1
16656, 1
2384, 1
2528, 1
255, 56
2656, 1
2672, 3
2736, 1
2752, 2
2768, 1
2800, 1
2848, 1
2880, 1
2944, 2
2976, 1
3024, 1
3072, 3
3088, 4
3152, 1
33, 245
3328, 1
3360, 1
3408, 1
3440, 2
3504, 1
3520, 1
3552, 1
3600, 2
3632, 4
3664, 1
3680, 1
3696, 1
3712, 1
3728, 1
3840, 1
3856, 2
3888, 1
3904, 1
3920, 2
3952, 1
4, 497
4016, 2
4080, 1
4352, 1
4432, 2
4464, 1
4480, 2
4496, 2
4512, 1
4672, 1
4752, 2
4768, 2
4832, 1
4864, 2
4944, 1
4976, 1
5, 4
5040, 1
5072, 3
50880, 1
51040, 2
51312, 1
51568, 1
5168, 1
51728, 1
51808, 1
5184, 1
51904, 1
51968, 1
5200, 3
52128, 2
5216, 1
52208, 1
5232, 1
52320, 1
52416, 1
5248, 1
52640, 1
52704, 1
5280, 1
53008, 1
53072, 1
53136, 1
5344, 1
5360, 1
5376, 1
5392, 1
5456, 1
5504, 1
55296, 1
5552, 1
5584, 1
5616, 2
5648, 2
5664, 1
5696, 1
5808, 1
5824, 1
5840, 1
5872, 2
5920, 1
5968, 1
5984, 1
6, 97
6000, 1
6016, 2
6048, 1
6096, 1
6112, 2
6144, 1
6176, 1
61888, 1
6336, 1
6352, 3
6416, 3
6464, 1
6544, 1
65520, 1
6560, 1
6624, 1
6672, 1
6688, 1
6704, 1
6768, 1
6784, 1
6800, 1
6816, 1
6848, 1
6880, 1
6960, 1
7120, 1
7184, 2
7232, 2
7264, 1
7296, 1
7312, 1
7344, 1
7376, 2
7408, 2
7424, 1
7456, 3
7472, 1
7488, 1
7504, 2
7520, 2
7536, 1
7552, 2
7600, 1
7616, 1
7776, 1
7856, 2
7872, 1
7904, 1
7920, 1
7936, 1
7968, 1
7984, 1
8000, 1
8016, 1
8160, 1
8512, 2
8528, 1
8800, 2
8944, 1
9040, 1
9168, 1
9184, 1
9200, 1
9216, 1
9280, 1
9328, 1
9456, 1
9488, 1
9552, 1
9600, 1
9632, 1
9664, 1
9904, 1
Landscape, 50226
Night scene, 15337
Portrait, 25237
Standard, 1113757
